Date,Store_ID,Store_Location,Product_ID,Product_Name,Product_Category,Unit_Price,Unit_Cost,Quantity_Sold,Gross_Sales,Total_Cost,Profit_Amount,Invoice_Count,Discount_%,Festival_Flag,Promotion_Flag,Payment_Mode,Outstanding_Amount,Return_Quantity,Stock_Level,Profit_Margin_%,Business_Type,Sales_Growth_%
2023-01-01,S003,Hyderabad,P005,Product_5,FMCG,840,552.05,34,28560,18769.699999999997,9790.300000000003,6,10,0,0,Net Banking,2625,1,606,34.28,Wholesale,0.8
2023-01-02,S001,Chennai,P001,Product_1,FMCG,1095,877.01,45,49275,39465.45,9809.550000000003,11,15,0,0,Net Banking,1529,3,522,19.91,Distributor,12.85
2023-01-02,S001,Chennai,P002,Product_2,Electronics,1708,1122.13,53,90524,59472.89000000001,31051.109999999993,7,0,0,0,Card,5575,2,698,34.3,Wholesale,12.21
2023-01-02,S001,Chennai,P003,Product_3,Clothing,1557,1065.62,18,28026,19181.159999999996,8844.840000000004,8,10,0,0,Cash,3763,0,546,31.56,Wholesale,1.46
2023-01-02,S001,Chennai,P004,Product_4,Supermarket,863,571.06,41,35383,23413.46,11969.54,5,5,0,0,Cash,2999,0,748,33.83,Retail,9.25
2023-01-02,S001,Chennai,P005,Product_5,FMCG,301,218.43,55,16555,12013.65,4541.35,1,10,0,0,Cash,3474,5,179,27.43,Retail,0.57
2023-01-02,S002,Bangalore,P001,Product_1,FMCG,2007,1428.88,9,18063,12859.920000000002,5203.079999999998,7,15,0,0,UPI,3255,2,450,28.81,Distributor,6.85
2023-01-02,S002,Bangalore,P002,Product_2,Electronics,593,410.32,53,31429,21746.96,9682.04,11,5,0,0,UPI,6895,0,250,30.81,Distributor,7.67
2023-01-02,S002,Bangalore,P003,Product_3,Clothing,2094,1565.73,38,79572,59497.74,20074.260000000002,3,10,0,0,Net Banking,2911,3,538,25.23,Retail,9.22
2023-01-02,S002,Bangalore,P004,Product_4,Supermarket,2259,1573.81,21,47439,33050.01,14388.989999999998,12,15,0,0,Cash,6616,1,200,30.33,Distributor,-2.25
2023-01-02,S002,Bangalore,P005,Product_5,FMCG,1934,1270.9,19,36746,24147.100000000002,12598.899999999998,4,5,0,0,Net Banking,4976,1,353,34.29,Wholesale,14.64
2023-01-02,S003,Hyderabad,P001,Product_1,FMCG,752,620.48,56,42112,34746.880000000005,7365.119999999995,3,0,0,0,Net Banking,2255,2,453,17.49,Wholesale,0.58
2023-01-02,S003,Hyderabad,P002,Product_2,Electronics,1996,1517.97,14,27944,21251.58,6692.419999999998,6,0,0,0,Net Banking,3923,5,276,23.95,Wholesale,-1.77
2023-01-02,S003,Hyderabad,P003,Product_3,Clothing,1796,1375.51,31,55676,42640.81,13035.190000000002,2,5,0,0,Card,2869,2,769,23.41,Retail,-1.78
2023-01-02,S003,Hyderabad,P004,Product_4,Supermarket,2004,1290.54,7,14028,9033.779999999999,4994.220000000001,4,0,0,0,Net Banking,6015,2,450,35.6,Retail,4.88
2023-01-02,S003,Hyderabad,P005,Product_5,FMCG,759,551.95,24,18216,13246.800000000001,4969.199999999999,14,10,0,0,Card,6373,4,612,27.28,Wholesale,0.01
2023-01-03,S001,Chennai,P001,Product_1,FMCG,2374,1896.12,35,83090,66364.2,16725.800000000003,1,0,0,1,Cash,3067,4,708,20.13,Distributor,6.54
2023-01-03,S001,Chennai,P002,Product_2,Electronics,1515,1153.47,22,33330,25376.34,7953.66,13,15,0,1,Card,3444,5,148,23.86,Retail,13.81
2023-01-03,S001,Chennai,P003,Product_3,Clothing,1360,1131.63,55,74800,62239.65000000001,12560.349999999991,3,5,0,1,Net Banking,5088,3,240,16.79,Retail,14.33
2023-01-03,S001,Chennai,P004,Product_4,Supermarket,1280,829.09,38,48640,31505.420000000002,17134.579999999998,2,15,0,1,Cash,5854,5,619,35.23,Distributor,4.71
2023-01-03,S001,Chennai,P005,Product_5,FMCG,2195,1355.64,56,122920,75915.84000000001,47004.15999999999,7,15,0,1,Card,7806,2,539,38.24,Wholesale,8.42
2023-01-03,S002,Bangalore,P001,Product_1,FMCG,1084,880.39,13,14092,11445.07,2646.9300000000003,7,10,0,1,Cash,5801,1,457,18.78,Retail,9.18
2023-01-03,S002,Bangalore,P002,Product_2,Electronics,1829,1099.77,42,76818,46190.34,30627.660000000003,8,0,0,1,Net Banking,4495,5,520,39.87,Distributor,-1.11
2023-01-03,S002,Bangalore,P003,Product_3,Clothing,1415,1053.77,37,52355,38989.49,13365.510000000002,3,10,0,1,Cash,3769,5,174,25.53,Wholesale,8.44
2023-01-03,S002,Bangalore,P004,Product_4,Supermarket,2015,1228.56,20,40300,24571.199999999997,15728.800000000003,5,5,0,1,Cash,6407,4,621,39.03,Retail,5.74
2023-01-03,S002,Bangalore,P005,Product_5,FMCG,1426,886.03,51,72726,45187.53,27538.47,3,15,0,1,UPI,7079,3,705,37.87,Retail,5.63
2023-01-03,S003,Hyderabad,P001,Product_1,FMCG,669,487.75,35,23415,17071.25,6343.75,3,10,0,1,Net Banking,5177,1,790,27.09,Wholesale,10.9
2023-01-03,S003,Hyderabad,P002,Product_2,Electronics,416,258.01,13,5408,3354.13,2053.87,10,15,0,1,Card,512,1,145,37.98,Wholesale,3.18
2023-01-03,S003,Hyderabad,P003,Product_3,Clothing,1441,1122.03,46,66286,51613.38,14672.620000000003,13,0,0,1,UPI,4799,4,296,22.14,Distributor,0.6
2023-01-03,S003,Hyderabad,P004,Product_4,Supermarket,453,312.11,43,19479,13420.730000000001,6058.269999999999,14,5,0,1,Net Banking,5188,0,143,31.1,Wholesale,-4.71
2023-01-03,S003,Hyderabad,P005,Product_5,FMCG,1257,975.32,16,20112,15605.12,4506.879999999999,5,15,0,1,UPI,1635,0,303,22.41,Wholesale,-3.04
2023-01-04,S001,Chennai,P001,Product_1,FMCG,2085,1572.01,8,16680,12576.08,4103.92,10,15,0,0,Card,3730,1,657,24.6,Retail,-4.09
2023-01-04,S001,Chennai,P002,Product_2,Electronics,1315,1005.55,7,9205,7038.849999999999,2166.1500000000005,7,15,0,0,Card,4592,3,209,23.53,Distributor,-3.59
2023-01-04,S001,Chennai,P003,Product_3,Clothing,1151,856.19,51,58701,43665.69,15035.309999999998,1,10,0,0,Cash,2738,2,662,25.61,Distributor,7.87
2023-01-04,S001,Chennai,P004,Product_4,Supermarket,1740,1327.4,45,78300,59733.00000000001,18566.999999999993,12,15,0,0,UPI,3373,1,302,23.71,Distributor,0.48
2023-01-04,S001,Chennai,P005,Product_5,FMCG,1053,811.6,20,21060,16232.0,4828.0,10,5,0,0,Card,1625,5,467,22.92,Distributor,1.38
2023-01-04,S002,Bangalore,P001,Product_1,FMCG,916,663.19,54,49464,35812.26,13651.739999999998,13,5,0,0,Net Banking,7587,0,326,27.6,Retail,7.58
2023-01-04,S002,Bangalore,P002,Product_2,Electronics,975,628.25,12,11700,7539.0,4161.0,1,15,0,0,UPI,4079,3,145,35.56,Distributor,11.14
2023-01-04,S002,Bangalore,P003,Product_3,Clothing,336,221.64,56,18816,12411.84,6404.16,3,0,0,0,Cash,5917,0,111,34.04,Retail,9.8
2023-01-04,S002,Bangalore,P004,Product_4,Supermarket,1665,1122.89,22,36630,24703.58,11926.419999999998,13,0,0,0,Cash,4171,0,504,32.56,Wholesale,-3.93
2023-01-04,S002,Bangalore,P005,Product_5,FMCG,1150,831.74,19,21850,15803.06,6046.9400000000005,12,0,0,0,Cash,7091,2,518,27.67,Retail,-3.17
2023-01-04,S003,Hyderabad,P001,Product_1,FMCG,1467,1169.79,47,68949,54980.13,13968.870000000003,7,0,0,0,Card,3294,1,182,20.26,Distributor,4.89
2023-01-04,S003,Hyderabad,P002,Product_2,Electronics,1538,1132.7,14,21532,15857.800000000001,5674.199999999999,9,5,0,0,Card,953,3,302,26.35,Wholesale,14.37
2023-01-04,S003,Hyderabad,P003,Product_3,Clothing,1842,1301.42,42,77364,54659.64,22704.36,11,5,0,0,Card,1217,4,78,29.35,Retail,2.93
2023-01-04,S003,Hyderabad,P004,Product_4,Supermarket,1745,1477.42,49,85505,72393.58,13111.419999999998,4,0,0,0,Cash,510,0,350,15.33,Wholesale,2.41
2023-01-04,S003,Hyderabad,P005,Product_5,FMCG,2110,1675.94,55,116050,92176.7,23873.300000000003,10,10,0,0,UPI,4134,5,500,20.57,Retail,3.48
2023-01-05,S001,Chennai,P001,Product_1,FMCG,1543,1146.25,23,35489,26363.75,9125.25,9,15,0,0,UPI,3072,2,397,25.71,Wholesale,10.34
2023-01-05,S001,Chennai,P002,Product_2,Electronics,804,557.75,50,40200,27887.5,12312.5,6,0,0,0,Cash,133,1,605,30.63,Retail,12.37
2023-01-05,S001,Chennai,P003,Product_3,Clothing,2152,1464.81,19,40888,27831.39,13056.61,12,5,0,0,Cash,5795,2,708,31.93,Retail,13.49
2023-01-05,S001,Chennai,P004,Product_4,Supermarket,2394,1813.1,17,40698,30822.699999999997,9875.300000000003,5,10,0,0,Card,3330,0,61,24.26,Wholesale,4.09
2023-01-05,S001,Chennai,P005,Product_5,FMCG,1267,885.16,26,32942,23014.16,9927.84,10,15,0,0,Net Banking,6819,1,697,30.14,Wholesale,1.71
2023-01-05,S002,Bangalore,P001,Product_1,FMCG,839,519.7,43,36077,22347.100000000002,13729.899999999998,6,15,0,0,UPI,7312,0,773,38.06,Retail,14.72
2023-01-05,S002,Bangalore,P002,Product_2,Electronics,1224,775.15,37,45288,28680.55,16607.45,3,0,0,0,Net Banking,4804,0,499,36.67,Wholesale,13.81
2023-01-05,S002,Bangalore,P003,Product_3,Clothing,1097,895.72,47,51559,42098.840000000004,9460.159999999996,1,0,0,0,Card,3136,1,273,18.35,Distributor,-4.47
2023-01-05,S002,Bangalore,P004,Product_4,Supermarket,2102,1573.42,27,56754,42482.340000000004,14271.659999999996,1,5,0,0,Cash,4000,1,154,25.15,Distributor,11.58
2023-01-05,S002,Bangalore,P005,Product_5,FMCG,810,541.36,50,40500,27068.0,13432.0,1,10,0,0,Cash,1668,5,486,33.17,Distributor,12.29
2023-01-05,S003,Hyderabad,P001,Product_1,FMCG,1013,822.97,20,20260,16459.4,3800.5999999999985,14,0,0,0,Cash,4146,4,766,18.76,Wholesale,4.01
2023-01-05,S003,Hyderabad,P002,Product_2,Electronics,748,574.41,34,25432,19529.94,5902.060000000001,8,5,0,0,UPI,6297,1,723,23.21,Wholesale,2.16
2023-01-05,S003,Hyderabad,P003,Product_3,Clothing,2465,1991.33,51,125715,101557.83,24157.17,12,15,0,0,Cash,3037,5,450,19.22,Distributor,11.33
2023-01-05,S003,Hyderabad,P004,Product_4,Supermarket,1552,1171.88,5,7760,5859.400000000001,1900.5999999999995,6,10,0,0,Net Banking,4859,1,355,24.49,Wholesale,-0.74
2023-01-05,S003,Hyderabad,P005,Product_5,FMCG,1658,1176.13,36,59688,42340.68000000001,17347.319999999992,1,15,0,0,Net Banking,1358,3,591,29.06,Distributor,5.95
2023-01-06,S001,Chennai,P001,Product_1,FMCG,2428,2033.16,7,16996,14232.12,2763.879999999999,10,5,0,0,Cash,3579,3,118,16.26,Wholesale,13.53
2023-01-06,S001,Chennai,P002,Product_2,Electronics,2400,1648.45,45,108000,74180.25,33819.75,3,10,0,0,UPI,760,2,423,31.31,Retail,-0.2
2023-01-06,S001,Chennai,P003,Product_3,Clothing,2187,1571.34,31,67797,48711.54,19085.46,10,15,0,0,UPI,7570,4,54,28.15,Wholesale,-1.55
2023-01-06,S001,Chennai,P004,Product_4,Supermarket,903,620.28,25,22575,15507.0,7068.0,5,0,0,0,Cash,523,1,95,31.31,Wholesale,5.97
2023-01-06,S001,Chennai,P005,Product_5,FMCG,2268,1646.24,47,106596,77373.28,29222.72,9,10,0,0,UPI,5240,5,288,27.41,Wholesale,-4.21
2023-01-06,S002,Bangalore,P001,Product_1,FMCG,406,337.07,20,8120,6741.4,1378.6000000000004,8,5,0,0,Cash,5986,4,741,16.98,Distributor,12.37
2023-01-06,S002,Bangalore,P002,Product_2,Electronics,602,416.96,25,15050,10424.0,4626.0,7,5,0,0,Card,3287,1,414,30.74,Wholesale,7.37
2023-01-06,S002,Bangalore,P003,Product_3,Clothing,825,525.47,53,43725,27849.91,15875.09,7,10,0,0,Card,6506,3,323,36.31,Wholesale,8.74
2023-01-06,S002,Bangalore,P004,Product_4,Supermarket,2206,1457.32,27,59562,39347.64,20214.36,10,10,0,0,UPI,1976,0,280,33.94,Wholesale,2.55
2023-01-06,S002,Bangalore,P005,Product_5,FMCG,425,267.72,20,8500,5354.400000000001,3145.5999999999995,4,0,0,0,Card,66,0,158,37.01,Wholesale,6.87
2023-01-06,S003,Hyderabad,P001,Product_1,FMCG,2458,1833.79,25,61450,45844.75,15605.25,8,5,0,0,Cash,6891,2,603,25.4,Retail,6.15
2023-01-06,S003,Hyderabad,P002,Product_2,Electronics,1841,1518.66,36,66276,54671.76,11604.239999999998,13,10,0,0,Card,3812,0,338,17.51,Retail,2.12
2023-01-06,S003,Hyderabad,P003,Product_3,Clothing,2033,1405.49,50,101650,70274.5,31375.5,14,15,0,0,Card,2397,0,292,30.87,Distributor,12.02
2023-01-06,S003,Hyderabad,P004,Product_4,Supermarket,1363,1055.29,27,36801,28492.829999999998,8308.170000000002,4,10,0,0,Net Banking,4170,3,695,22.58,Wholesale,12.93
2023-01-06,S003,Hyderabad,P005,Product_5,FMCG,1929,1239.81,53,102237,65709.93,36527.07000000001,11,5,0,0,Net Banking,7193,2,222,35.73,Retail,13.59
2023-01-07,S001,Chennai,P001,Product_1,FMCG,1441,1120.72,23,33143,25776.56,7366.439999999999,12,0,0,0,UPI,2048,1,703,22.23,Wholesale,9.72
2023-01-07,S001,Chennai,P002,Product_2,Electronics,2128,1546.05,38,80864,58749.9,22114.1,1,0,0,0,Card,4785,1,310,27.35,Distributor,5.65
2023-01-07,S001,Chennai,P003,Product_3,Clothing,1973,1672.1,16,31568,26753.6,4814.4000000000015,1,15,0,0,UPI,5732,0,599,15.25,Distributor,11.2
2023-01-07,S001,Chennai,P004,Product_4,Supermarket,1418,1180.32,46,65228,54294.719999999994,10933.280000000006,8,5,0,0,UPI,5256,1,637,16.76,Distributor,-2.51
2023-01-07,S001,Chennai,P005,Product_5,FMCG,1870,1555.12,25,46750,38878.0,7872.0,8,15,0,0,UPI,872,4,319,16.84,Wholesale,11.84
2023-01-07,S002,Bangalore,P001,Product_1,FMCG,1614,1034.68,8,12912,8277.44,4634.5599999999995,10,10,0,0,Card,4227,0,798,35.89,Wholesale,8.3
2023-01-07,S002,Bangalore,P002,Product_2,Electronics,2436,1877.54,11,26796,20652.94,6143.060000000001,3,10,0,0,Cash,6565,0,72,22.93,Distributor,9.28
2023-01-07,S002,Bangalore,P003,Product_3,Clothing,2490,1853.49,20,49800,37069.8,12730.199999999997,2,0,0,0,Card,4916,2,88,25.56,Distributor,2.83
2023-01-07,S002,Bangalore,P004,Product_4,Supermarket,497,414.97,10,4970,4149.700000000001,820.2999999999993,4,10,0,0,UPI,5742,4,338,16.51,Wholesale,1.7
2023-01-07,S002,Bangalore,P005,Product_5,FMCG,1554,1155.07,31,48174,35807.17,12366.830000000002,13,5,0,0,Cash,7578,0,303,25.67,Wholesale,10.05
2023-01-07,S003,Hyderabad,P001,Product_1,FMCG,2157,1705.36,13,28041,22169.68,5871.32,13,0,0,0,UPI,4910,3,265,20.94,Distributor,-2.94
2023-01-07,S003,Hyderabad,P002,Product_2,Electronics,2394,1681.16,47,112518,79014.52,33503.479999999996,3,5,0,0,UPI,1955,3,332,29.78,Retail,-4.76
2023-01-07,S003,Hyderabad,P003,Product_3,Clothing,1983,1279.83,13,25779,16637.79,9141.21,8,15,0,0,UPI,814,1,351,35.46,Distributor,6.67
2023-01-07,S003,Hyderabad,P004,Product_4,Supermarket,2488,1579.33,21,52248,33165.93,19082.07,8,0,0,0,Net Banking,2730,3,405,36.52,Retail,0.12
2023-01-07,S003,Hyderabad,P005,Product_5,FMCG,2163,1650.03,51,110313,84151.53,26161.47,9,15,0,0,Card,4146,4,511,23.72,Retail,2.49
2023-01-08,S001,Chennai,P001,Product_1,FMCG,1730,1091.12,43,74390,46918.159999999996,27471.840000000004,4,0,0,1,Card,3030,0,50,36.93,Distributor,-1.69
2023-01-08,S001,Chennai,P002,Product_2,Electronics,866,568.83,20,17320,11376.6,5943.4,5,0,0,1,Cash,201,3,362,34.32,Retail,2.59
2023-01-08,S001,Chennai,P003,Product_3,Clothing,1236,776.91,59,72924,45837.689999999995,27086.310000000005,6,0,0,1,Card,3281,2,467,37.14,Distributor,12.27
2023-01-08,S001,Chennai,P004,Product_4,Supermarket,1238,752.97,58,71804,43672.26,28131.739999999998,7,5,0,1,Net Banking,4805,4,210,39.18,Retail,-1.47
2023-01-08,S001,Chennai,P005,Product_5,FMCG,584,435.17,27,15768,11749.59,4018.41,5,5,0,1,Cash,966,0,133,25.48,Retail,-4.74
2023-01-08,S002,Bangalore,P001,Product_1,FMCG,988,730.45,27,26676,19722.15,6953.8499999999985,8,15,0,1,Cash,4422,0,785,26.07,Retail,5.7
2023-01-08,S002,Bangalore,P002,Product_2,Electronics,1289,1015.07,24,30936,24361.68,6574.32,13,5,0,1,Cash,4524,4,335,21.25,Distributor,-0.9
2023-01-08,S002,Bangalore,P003,Product_3,Clothing,2365,1592.85,58,137170,92385.29999999999,44784.70000000001,6,10,0,1,Net Banking,5232,1,271,32.65,Wholesale,5.55
2023-01-08,S002,Bangalore,P004,Product_4,Supermarket,1246,795.96,5,6230,3979.8,2250.2,7,15,0,1,UPI,4895,1,507,36.12,Distributor,12.24
2023-01-08,S002,Bangalore,P005,Product_5,FMCG,2201,1610.35,39,85839,62803.649999999994,23035.350000000006,2,10,0,1,UPI,7516,0,362,26.84,Distributor,14.58
2023-01-08,S003,Hyderabad,P001,Product_1,FMCG,2158,1419.46,12,25896,17033.52,8862.48,5,5,0,1,UPI,7218,0,653,34.22,Distributor,1.79
2023-01-08,S003,Hyderabad,P002,Product_2,Electronics,1587,991.65,38,60306,37682.7,22623.300000000003,8,15,0,1,Card,2538,3,549,37.51,Retail,9.45
2023-01-08,S003,Hyderabad,P003,Product_3,Clothing,481,313.25,37,17797,11590.25,6206.75,7,10,0,1,Card,774,0,200,34.88,Retail,12.93
2023-01-08,S003,Hyderabad,P004,Product_4,Supermarket,446,281.29,24,10704,6750.960000000001,3953.039999999999,2,15,0,1,Card,1920,4,572,36.93,Wholesale,7.86
2023-01-08,S003,Hyderabad,P005,Product_5,FMCG,1709,1180.52,62,105958,73192.24,32765.759999999995,5,15,0,1,Card,1279,5,275,30.92,Retail,11.61
2023-01-09,S001,Chennai,P001,Product_1,FMCG,1823,1537.95,46,83858,70745.7,13112.300000000003,14,15,0,0,Net Banking,2106,5,776,15.64,Retail,-2.72
2023-01-09,S001,Chennai,P002,Product_2,Electronics,820,603.04,47,38540,28342.879999999997,10197.120000000003,6,0,0,0,Card,7402,5,53,26.46,Wholesale,0.16
2023-01-09,S001,Chennai,P003,Product_3,Clothing,741,611.43,36,26676,22011.48,4664.52,6,10,0,0,Card,2175,4,91,17.49,Retail,8.66
2023-01-09,S001,Chennai,P004,Product_4,Supermarket,2381,1758.47,28,66668,49237.16,17430.839999999997,7,5,0,0,Cash,341,4,76,26.15,Retail,11.59
2023-01-09,S001,Chennai,P005,Product_5,FMCG,945,739.98,36,34020,26639.28,7380.720000000001,5,15,0,0,UPI,2953,4,450,21.7,Wholesale,7.66
2023-01-09,S002,Bangalore,P001,Product_1,FMCG,1001,730.46,5,5005,3652.3,1352.6999999999998,1,15,0,0,UPI,4788,3,420,27.03,Wholesale,14.17
2023-01-09,S002,Bangalore,P002,Product_2,Electronics,328,228.72,42,13776,9606.24,4169.76,1,10,0,0,UPI,2854,2,359,30.27,Wholesale,2.11
2023-01-09,S002,Bangalore,P003,Product_3,Clothing,354,271.13,56,19824,15183.279999999999,4640.720000000001,1,5,0,0,Card,7715,3,516,23.41,Distributor,9.65
2023-01-09,S002,Bangalore,P004,Product_4,Supermarket,664,424.08,12,7968,5088.96,2879.04,9,5,0,0,Cash,2343,0,690,36.13,Retail,4.48
2023-01-09,S002,Bangalore,P005,Product_5,FMCG,360,277.96,44,15840,12230.24,3609.76,3,0,0,0,Card,1252,3,221,22.79,Distributor,-0.07
2023-01-09,S003,Hyderabad,P001,Product_1,FMCG,401,299.77,22,8822,6594.94,2227.0600000000004,11,0,0,0,Cash,3004,0,379,25.24,Retail,-3.17
2023-01-09,S003,Hyderabad,P002,Product_2,Electronics,1820,1176.24,19,34580,22348.56,12231.439999999999,5,15,0,0,Cash,1750,4,423,35.37,Wholesale,10.17
2023-01-09,S003,Hyderabad,P003,Product_3,Clothing,1523,1008.86,28,42644,28248.08,14395.919999999998,10,15,0,0,Cash,5657,1,65,33.76,Distributor,-0.58
2023-01-09,S003,Hyderabad,P004,Product_4,Supermarket,700,451.6,24,16800,10838.400000000001,5961.5999999999985,14,5,0,0,UPI,628,0,737,35.49,Wholesale,13.31
2023-01-09,S003,Hyderabad,P005,Product_5,FMCG,1126,941.41,21,23646,19769.61,3876.3899999999994,7,10,0,0,UPI,4497,2,539,16.39,Distributor,12.24
2023-01-10,S001,Chennai,P001,Product_1,FMCG,1482,1024.32,46,68172,47118.719999999994,21053.280000000006,3,15,0,0,Cash,5290,1,232,30.88,Distributor,4.62
2023-01-10,S001,Chennai,P002,Product_2,Electronics,663,492.68,51,33813,25126.68,8686.32,9,15,0,0,Cash,2769,0,65,25.69,Retail,10.81
2023-01-10,S001,Chennai,P003,Product_3,Clothing,1749,1432.72,5,8745,7163.6,1581.3999999999996,2,10,0,0,Card,4346,4,190,18.08,Wholesale,4.24
2023-01-10,S001,Chennai,P004,Product_4,Supermarket,1931,1544.21,41,79171,63312.61,15858.39,14,5,0,0,Cash,4572,5,294,20.03,Retail,2.01
2023-01-10,S001,Chennai,P005,Product_5,FMCG,571,467.32,49,27979,22898.68,5080.32,9,0,0,0,UPI,3430,3,438,18.16,Retail,10.37
2023-01-10,S002,Bangalore,P001,Product_1,FMCG,2350,1684.55,33,77550,55590.15,21959.85,14,5,0,0,Cash,7832,0,634,28.32,Distributor,0.93
2023-01-10,S002,Bangalore,P002,Product_2,Electronics,1263,826.71,39,49257,32241.690000000002,17015.309999999998,12,0,0,0,Card,806,5,393,34.54,Distributor,0.18
2023-01-10,S002,Bangalore,P003,Product_3,Clothing,1385,1043.39,28,38780,29214.920000000002,9565.079999999998,11,10,0,0,Net Banking,7827,4,624,24.66,Wholesale,14.82
2023-01-10,S002,Bangalore,P004,Product_4,Supermarket,1184,956.27,48,56832,45900.96,10931.04,9,5,0,0,Card,936,0,555,19.23,Distributor,-4.06
2023-01-10,S002,Bangalore,P005,Product_5,FMCG,2211,1520.13,8,17688,12161.04,5526.959999999999,1,5,0,0,Cash,3170,3,622,31.25,Distributor,14.38
2023-01-10,S003,Hyderabad,P001,Product_1,FMCG,1149,889.33,27,31023,24011.91,7011.09,6,10,0,0,Cash,7287,4,138,22.6,Retail,11.32
2023-01-10,S003,Hyderabad,P002,Product_2,Electronics,879,654.87,37,32523,24230.19,8292.810000000001,3,10,0,0,UPI,987,4,698,25.5,Distributor,12.55
2023-01-10,S003,Hyderabad,P003,Product_3,Clothing,1220,991.92,44,53680,43644.479999999996,10035.520000000004,9,0,0,0,Cash,1418,2,275,18.7,Distributor,1.58
2023-01-10,S003,Hyderabad,P004,Product_4,Supermarket,337,224.08,8,2696,1792.64,903.3599999999999,6,15,0,0,Cash,3387,4,642,33.51,Wholesale,4.92
2023-01-10,S003,Hyderabad,P005,Product_5,FMCG,1624,1169.52,32,51968,37424.64,14543.36,8,10,0,0,Net Banking,5985,2,798,27.99,Retail,11.49
2023-01-11,S001,Chennai,P001,Product_1,FMCG,2439,1982.04,55,134145,109012.2,25132.800000000003,13,0,0,1,Cash,1716,1,405,18.74,Distributor,1.68
2023-01-11,S001,Chennai,P002,Product_2,Electronics,999,639.01,50,49950,31950.5,17999.5,3,0,0,1,UPI,6678,1,443,36.04,Distributor,12.44
2023-01-11,S001,Chennai,P003,Product_3,Clothing,1874,1199.72,42,78708,50388.24,28319.760000000002,13,5,0,1,Net Banking,294,1,273,35.98,Retail,11.64
2023-01-11,S001,Chennai,P004,Product_4,Supermarket,1990,1682.14,22,43780,37007.08,6772.919999999998,12,15,0,1,Net Banking,6999,4,724,15.47,Wholesale,0.2
2023-01-11,S001,Chennai,P005,Product_5,FMCG,885,626.63,40,35400,25065.2,10334.8,14,10,0,1,Cash,5084,5,245,29.19,Wholesale,2.84
2023-01-11,S002,Bangalore,P001,Product_1,FMCG,1030,660.84,17,17510,11234.28,6275.719999999999,6,5,0,1,Cash,21,1,169,35.84,Distributor,9.17
2023-01-11,S002,Bangalore,P002,Product_2,Electronics,1003,771.32,17,17051,13112.44,3938.5599999999995,4,15,0,1,Cash,2507,4,82,23.1,Wholesale,7.95
2023-01-11,S002,Bangalore,P003,Product_3,Clothing,2426,1952.19,16,38816,31235.04,7580.959999999999,2,5,0,1,Card,4833,4,565,19.53,Retail,-4.98
