Date,Store ID,Store Location,Product ID,Product Name,Product Category,Unit Price,Unit Cost,Quantity Sold,Gross Sales,Total Cost,Profit Amount,Invoice Count
2025-01-02,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,74,1850,1110,740,45
2025-01-02,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,73,10220,7300,2920,45
2025-01-02,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,30,2400,1650,750,45
2025-01-02,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,31,2945,2170,775,45
2025-01-03,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,81,4050,2835,1215,59
2025-01-03,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,47,5640,4230,1410,59
2025-01-03,ST01,MG Road,P03,Milk 1L,Dairy,40,28,112,4480,3136,1344,59
2025-01-03,ST01,MG Road,P04,Curd 500g,Dairy,35,24,70,2450,1680,770,59
2025-01-03,ST01,MG Road,P05,Cola 1L,Beverages,30,20,67,2010,1340,670,59
2025-01-03,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,66,3960,2772,1188,59
2025-01-03,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,81,2025,1215,810,59
2025-01-03,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,93,13020,9300,3720,59
2025-01-03,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,89,7120,4895,2225,59
2025-01-03,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,85,8075,5950,2125,59
2025-01-03,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,81,4050,2835,1215,42
2025-01-03,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,83,9960,7470,2490,42
2025-01-03,ST02,Howrah,P03,Milk 1L,Dairy,40,28,88,3520,2464,1056,42
2025-01-03,ST02,Howrah,P04,Curd 500g,Dairy,35,24,46,1610,1104,506,42
2025-01-03,ST02,Howrah,P05,Cola 1L,Beverages,30,20,94,2820,1880,940,42
2025-01-03,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,54,3240,2268,972,42
2025-01-03,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,57,1425,855,570,42
2025-01-03,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,49,6860,4900,1960,42
2025-01-03,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,98,7840,5390,2450,42
2025-01-03,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,41,3895,2870,1025,42
2025-01-04,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,48,2400,1680,720,73
2025-01-04,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,75,9000,6750,2250,73
2025-01-04,ST01,MG Road,P03,Milk 1L,Dairy,40,28,107,4280,2996,1284,73
2025-01-04,ST01,MG Road,P04,Curd 500g,Dairy,35,24,101,3535,2424,1111,73
2025-01-04,ST01,MG Road,P05,Cola 1L,Beverages,30,20,135,4050,2700,1350,73
2025-01-04,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,61,3660,2562,1098,73
2025-01-04,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,75,1875,1125,750,73
2025-01-04,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,40,5600,4000,1600,73
2025-01-04,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,68,5440,3740,1700,73
2025-01-04,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,44,4180,3080,1100,73
2025-01-04,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,99,4950,3465,1485,54
2025-01-04,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,69,8280,6210,2070,54
2025-01-04,ST02,Howrah,P03,Milk 1L,Dairy,40,28,64,2560,1792,768,54
2025-01-04,ST02,Howrah,P04,Curd 500g,Dairy,35,24,83,2905,1992,913,54
2025-01-04,ST02,Howrah,P05,Cola 1L,Beverages,30,20,73,2190,1460,730,54
2025-01-04,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,127,7620,5334,2286,54
2025-01-04,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,76,1900,1140,760,54
2025-01-04,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,48,6720,4800,1920,54
2025-01-04,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,92,7360,5060,2300,54
2025-01-04,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,95,9025,6650,2375,54
2025-01-05,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,69,3450,2415,1035,69
2025-01-05,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,43,5160,3870,1290,69
2025-01-05,ST01,MG Road,P03,Milk 1L,Dairy,40,28,43,1720,1204,516,69
2025-01-05,ST01,MG Road,P04,Curd 500g,Dairy,35,24,51,1785,1224,561,69
2025-01-05,ST01,MG Road,P05,Cola 1L,Beverages,30,20,57,1710,1140,570,69
2025-01-05,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,119,7140,4998,2142,69
2025-01-05,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,82,2050,1230,820,69
2025-01-05,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,89,12460,8900,3560,69
2025-01-05,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,69,5520,3795,1725,69
2025-01-05,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,76,7220,5320,1900,69
2025-01-05,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,47,2350,1645,705,53
2025-01-05,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,105,12600,9450,3150,53
2025-01-05,ST02,Howrah,P03,Milk 1L,Dairy,40,28,77,3080,2156,924,53
2025-01-05,ST02,Howrah,P04,Curd 500g,Dairy,35,24,89,3115,2136,979,53
2025-01-05,ST02,Howrah,P05,Cola 1L,Beverages,30,20,107,3210,2140,1070,53
2025-01-05,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,96,5760,4032,1728,53
2025-01-05,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,91,2275,1365,910,53
2025-01-05,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,92,12880,9200,3680,53
2025-01-05,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,79,6320,4345,1975,53
2025-01-05,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,62,5890,4340,1550,53
2025-01-06,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,92,4600,3220,1380,64
2025-01-06,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,91,10920,8190,2730,64
2025-01-06,ST01,MG Road,P03,Milk 1L,Dairy,40,28,49,1960,1372,588,64
2025-01-06,ST01,MG Road,P04,Curd 500g,Dairy,35,24,98,3430,2352,1078,64
2025-01-06,ST01,MG Road,P05,Cola 1L,Beverages,30,20,132,3960,2640,1320,64
2025-01-06,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,133,7980,5586,2394,64
2025-01-06,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,32,800,480,320,64
2025-01-06,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,71,9940,7100,2840,64
2025-01-06,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,34,2720,1870,850,64
2025-01-06,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,87,8265,6090,2175,64
2025-01-06,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,87,4350,3045,1305,36
2025-01-06,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,57,6840,5130,1710,36
2025-01-06,ST02,Howrah,P03,Milk 1L,Dairy,40,28,44,1760,1232,528,36
2025-01-06,ST02,Howrah,P04,Curd 500g,Dairy,35,24,114,3990,2736,1254,36
2025-01-06,ST02,Howrah,P05,Cola 1L,Beverages,30,20,138,4140,2760,1380,36
2025-01-06,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,80,4800,3360,1440,36
2025-01-06,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,41,1025,615,410,36
2025-01-06,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,70,9800,7000,2800,36
2025-01-06,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,92,7360,5060,2300,36
2025-01-06,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,47,4465,3290,1175,36
2025-01-07,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,90,4500,3150,1350,68
2025-01-07,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,80,9600,7200,2400,68
2025-01-07,ST01,MG Road,P03,Milk 1L,Dairy,40,28,88,3520,2464,1056,68
2025-01-07,ST01,MG Road,P04,Curd 500g,Dairy,35,24,45,1575,1080,495,68
2025-01-07,ST01,MG Road,P05,Cola 1L,Beverages,30,20,112,3360,2240,1120,68
2025-01-07,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,135,8100,5670,2430,68
2025-01-07,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,85,2125,1275,850,68
2025-01-07,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,82,11480,8200,3280,68
2025-01-07,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,64,5120,3520,1600,68
2025-01-07,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,55,5225,3850,1375,68
2025-01-07,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,80,4000,2800,1200,43
2025-01-07,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,116,13920,10440,3480,43
2025-01-07,ST02,Howrah,P03,Milk 1L,Dairy,40,28,54,2160,1512,648,43
2025-01-07,ST02,Howrah,P04,Curd 500g,Dairy,35,24,82,2870,1968,902,43
2025-01-07,ST02,Howrah,P05,Cola 1L,Beverages,30,20,86,2580,1720,860,43
2025-01-07,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,66,3960,2772,1188,43
2025-01-07,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,80,2000,1200,800,43
2025-01-07,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,78,10920,7800,3120,43
2025-01-07,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,43,3440,2365,1075,43
2025-01-07,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,75,7125,5250,1875,43
2025-01-08,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,47,2350,1645,705,56
2025-01-08,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,67,8040,6030,2010,56
2025-01-08,ST01,MG Road,P03,Milk 1L,Dairy,40,28,81,3240,2268,972,56
2025-01-08,ST01,MG Road,P04,Curd 500g,Dairy,35,24,56,1960,1344,616,56
2025-01-08,ST01,MG Road,P05,Cola 1L,Beverages,30,20,140,4200,2800,1400,56
2025-01-08,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,74,4440,3108,1332,56
2025-01-08,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,90,2250,1350,900,56
2025-01-08,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,50,7000,5000,2000,56
2025-01-08,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,81,6480,4455,2025,56
2025-01-08,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,31,2945,2170,775,56
2025-01-08,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,72,3600,2520,1080,72
2025-01-08,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,63,7560,5670,1890,72
2025-01-08,ST02,Howrah,P03,Milk 1L,Dairy,40,28,71,2840,1988,852,72
2025-01-08,ST02,Howrah,P04,Curd 500g,Dairy,35,24,73,2555,1752,803,72
2025-01-08,ST02,Howrah,P05,Cola 1L,Beverages,30,20,87,2610,1740,870,72
2025-01-08,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,84,5040,3528,1512,72
2025-01-08,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,84,2100,1260,840,72
2025-01-08,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,30,4200,3000,1200,72
2025-01-08,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,81,6480,4455,2025,72
2025-01-08,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,95,9025,6650,2375,72
2025-01-09,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,44,2200,1540,660,43
2025-01-09,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,94,11280,8460,2820,43
2025-01-09,ST01,MG Road,P03,Milk 1L,Dairy,40,28,84,3360,2352,1008,43
2025-01-09,ST01,MG Road,P04,Curd 500g,Dairy,35,24,41,1435,984,451,43
2025-01-09,ST01,MG Road,P05,Cola 1L,Beverages,30,20,132,3960,2640,1320,43
2025-01-09,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,62,3720,2604,1116,43
2025-01-09,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,84,2100,1260,840,43
2025-01-09,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,81,11340,8100,3240,43
2025-01-09,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,43,3440,2365,1075,43
2025-01-09,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,49,4655,3430,1225,43
2025-01-09,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,41,2050,1435,615,74
2025-01-09,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,61,7320,5490,1830,74
2025-01-09,ST02,Howrah,P03,Milk 1L,Dairy,40,28,56,2240,1568,672,74
2025-01-09,ST02,Howrah,P04,Curd 500g,Dairy,35,24,79,2765,1896,869,74
2025-01-09,ST02,Howrah,P05,Cola 1L,Beverages,30,20,140,4200,2800,1400,74
2025-01-09,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,112,6720,4704,2016,74
2025-01-09,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,39,975,585,390,74
2025-01-09,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,66,9240,6600,2640,74
2025-01-09,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,60,4800,3300,1500,74
2025-01-09,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,86,8170,6020,2150,74
2025-01-10,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,45,2250,1575,675,63
2025-01-10,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,51,6120,4590,1530,63
2025-01-10,ST01,MG Road,P03,Milk 1L,Dairy,40,28,46,1840,1288,552,63
2025-01-10,ST01,MG Road,P04,Curd 500g,Dairy,35,24,96,3360,2304,1056,63
2025-01-10,ST01,MG Road,P05,Cola 1L,Beverages,30,20,96,2880,1920,960,63
2025-01-10,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,138,8280,5796,2484,63
2025-01-10,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,56,1400,840,560,63
2025-01-10,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,83,11620,8300,3320,63
2025-01-10,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,65,5200,3575,1625,63
2025-01-10,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,32,3040,2240,800,63
2025-01-10,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,84,4200,2940,1260,60
2025-01-10,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,92,11040,8280,2760,60
2025-01-10,ST02,Howrah,P03,Milk 1L,Dairy,40,28,64,2560,1792,768,60
2025-01-10,ST02,Howrah,P04,Curd 500g,Dairy,35,24,46,1610,1104,506,60
2025-01-10,ST02,Howrah,P05,Cola 1L,Beverages,30,20,80,2400,1600,800,60
2025-01-10,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,77,4620,3234,1386,60
2025-01-10,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,55,1375,825,550,60
2025-01-10,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,78,10920,7800,3120,60
2025-01-10,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,85,6800,4675,2125,60
2025-01-10,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,59,5605,4130,1475,60
2025-01-11,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,49,2450,1715,735,69
2025-01-11,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,115,13800,10350,3450,69
2025-01-11,ST01,MG Road,P03,Milk 1L,Dairy,40,28,67,2680,1876,804,69
2025-01-11,ST01,MG Road,P04,Curd 500g,Dairy,35,24,59,2065,1416,649,69
2025-01-11,ST01,MG Road,P05,Cola 1L,Beverages,30,20,108,3240,2160,1080,69
2025-01-11,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,89,5340,3738,1602,69
2025-01-11,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,97,2425,1455,970,69
2025-01-11,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,67,9380,6700,2680,69
2025-01-11,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,50,4000,2750,1250,69
2025-01-11,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,42,3990,2940,1050,69
2025-01-11,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,92,4600,3220,1380,52
2025-01-11,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,56,6720,5040,1680,52
2025-01-11,ST02,Howrah,P03,Milk 1L,Dairy,40,28,82,3280,2296,984,52
2025-01-11,ST02,Howrah,P04,Curd 500g,Dairy,35,24,57,1995,1368,627,52
2025-01-11,ST02,Howrah,P05,Cola 1L,Beverages,30,20,135,4050,2700,1350,52
2025-01-11,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,144,8640,6048,2592,52
2025-01-11,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,42,1050,630,420,52
2025-01-11,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,62,8680,6200,2480,52
2025-01-11,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,91,7280,5005,2275,52
2025-01-11,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,39,3705,2730,975,52
2025-01-12,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,96,4800,3360,1440,61
2025-01-12,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,82,9840,7380,2460,61
2025-01-12,ST01,MG Road,P03,Milk 1L,Dairy,40,28,52,2080,1456,624,61
2025-01-12,ST01,MG Road,P04,Curd 500g,Dairy,35,24,50,1750,1200,550,61
2025-01-12,ST01,MG Road,P05,Cola 1L,Beverages,30,20,88,2640,1760,880,61
2025-01-12,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,86,5160,3612,1548,61
2025-01-12,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,74,1850,1110,740,61
2025-01-12,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,74,10360,7400,2960,61
2025-01-12,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,46,3680,2530,1150,61
2025-01-12,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,42,3990,2940,1050,61
2025-01-12,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,45,2250,1575,675,54
2025-01-12,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,43,5160,3870,1290,54
2025-01-12,ST02,Howrah,P03,Milk 1L,Dairy,40,28,101,4040,2828,1212,54
2025-01-12,ST02,Howrah,P04,Curd 500g,Dairy,35,24,40,1400,960,440,54
2025-01-12,ST02,Howrah,P05,Cola 1L,Beverages,30,20,139,4170,2780,1390,54
2025-01-12,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,93,5580,3906,1674,54
2025-01-12,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,93,2325,1395,930,54
2025-01-12,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,84,11760,8400,3360,54
2025-01-12,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,52,4160,2860,1300,54
2025-01-12,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,30,2850,2100,750,54
2025-01-13,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,84,4200,2940,1260,57
2025-01-13,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,50,6000,4500,1500,57
2025-01-13,ST01,MG Road,P03,Milk 1L,Dairy,40,28,111,4440,3108,1332,57
2025-01-13,ST01,MG Road,P04,Curd 500g,Dairy,35,24,106,3710,2544,1166,57
2025-01-13,ST01,MG Road,P05,Cola 1L,Beverages,30,20,57,1710,1140,570,57
2025-01-13,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,142,8520,5964,2556,57
2025-01-13,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,70,1750,1050,700,57
2025-01-13,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,86,12040,8600,3440,57
2025-01-13,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,78,6240,4290,1950,57
2025-01-13,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,30,2850,2100,750,57
2025-01-13,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,80,4000,2800,1200,72
2025-01-13,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,53,6360,4770,1590,72
2025-01-13,ST02,Howrah,P03,Milk 1L,Dairy,40,28,53,2120,1484,636,72
2025-01-13,ST02,Howrah,P04,Curd 500g,Dairy,35,24,111,3885,2664,1221,72
2025-01-13,ST02,Howrah,P05,Cola 1L,Beverages,30,20,67,2010,1340,670,72
2025-01-13,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,144,8640,6048,2592,72
2025-01-13,ST02,Howrah,P07,Bath Soap,Personal Care,25,15,48,1200,720,480,72
2025-01-13,ST02,Howrah,P08,Shampoo 200ml,Personal Care,140,100,95,13300,9500,3800,72
2025-01-13,ST02,Howrah,P09,Detergent 1kg,Home Care,80,55,81,6480,4455,2025,72
2025-01-13,ST02,Howrah,P10,Floor Cleaner 1L,Home Care,95,70,48,4560,3360,1200,72
2025-01-14,ST01,MG Road,P01,Premium Rice 5kg,Packaged Food,50,35,92,4600,3220,1380,63
2025-01-14,ST01,MG Road,P02,Refined Oil 1L,Packaged Food,120,90,103,12360,9270,3090,63
2025-01-14,ST01,MG Road,P03,Milk 1L,Dairy,40,28,85,3400,2380,1020,63
2025-01-14,ST01,MG Road,P04,Curd 500g,Dairy,35,24,64,2240,1536,704,63
2025-01-14,ST01,MG Road,P05,Cola 1L,Beverages,30,20,90,2700,1800,900,63
2025-01-14,ST01,MG Road,P06,Orange Juice 1L,Beverages,60,42,123,7380,5166,2214,63
2025-01-14,ST01,MG Road,P07,Bath Soap,Personal Care,25,15,67,1675,1005,670,63
2025-01-14,ST01,MG Road,P08,Shampoo 200ml,Personal Care,140,100,67,9380,6700,2680,63
2025-01-14,ST01,MG Road,P09,Detergent 1kg,Home Care,80,55,74,5920,4070,1850,63
2025-01-14,ST01,MG Road,P10,Floor Cleaner 1L,Home Care,95,70,71,6745,4970,1775,63
2025-01-14,ST02,Howrah,P01,Premium Rice 5kg,Packaged Food,50,35,117,5850,4095,1755,48
2025-01-14,ST02,Howrah,P02,Refined Oil 1L,Packaged Food,120,90,42,5040,3780,1260,48
2025-01-14,ST02,Howrah,P03,Milk 1L,Dairy,40,28,72,2880,2016,864,48
2025-01-14,ST02,Howrah,P04,Curd 500g,Dairy,35,24,119,4165,2856,1309,48
2025-01-14,ST02,Howrah,P05,Cola 1L,Beverages,30,20,73,2190,1460,730,48
2025-01-14,ST02,Howrah,P06,Orange Juice 1L,Beverages,60,42,83,4980,3486,1494,48
